Standort	Stationstyp	Hˆhe ¸ber NN (m)	Messbeginn	Rechtswert	Hochwert	lat	long
Bahnhofstraﬂe	S	424	01.03.1982	3580537	5412854	48.847910656916	10.096303842761
Aumattstraﬂe	S	148	01.04.1993	3442759	5404244	48.773071008339	8.2202222682024
Heubergstraﬂe	S	370	01.12.1989	3516839	5393413	48.678081684182	9.2276367903773
Hans-Liebherr-Straﬂe	S	533	01.11.1990	3559663	5328288	48.089851731675	9.7998768396869
Gewand Zigeunerschlag	S	109	01.09.1976	3456727	5437871	49.076561587324	8.4066744291838
Benninger Straﬂe	SPOT	193	01.01.2008	3515046	5422307	48.937949813194	9.2043455749155
Fehrenbachallee	S	262	01.06.1979	3412926	5318815	48.001513217237	7.8321249371144
Schwarzwaldstraﬂe	V	289	06.05.2004	3414977	5317374	47.98883198955	7.8598895690703
Ehlerstraﬂe	S	403	01.01.1987	3536555	5280307	47.660078787061	9.4856446837076
Goethestraﬂe	S	464	21.12.2005	3493032	5389785	48.645643617591	8.9044182842446
Berliner Straﬂe	S	112	01.01.1984	3476615	5475898	49.419557889399	8.6766639511394
Hans-Rieﬂer-Straﬂe	S	155	01.11.1979	3516466	5447621	49.165533955407	9.2247542029571
Weinsberger Straﬂe	V	165	01.01.2009	3516556	5445449	49.146001553572	9.2258992062649
Reinhold-Frank-Straﬂe	V	119	10.03.1994	3455242	5430253	49.00795862938	8.3871910868005
Daimlerstraﬂe	S	114	01.03.1985	3452954	5432567	49.028594618949	8.3556508700941
Am Yachthafen	S	135	01.02.1982	3411699	5382970	48.578174817931	7.8022770149761
Wallgutstraﬂe	S	403	01.09.1990	3512792	5280683	47.664365090457	9.1693000395802
Grabenstraﬂe	SPOT	391	01.01.2015	3501299	5407108	48.801457764974	9.0166585153367
Heinrich-Schweitzer-Straﬂe	S	302	01.03.1982	3512760	5417996	48.899236060561	9.173008523844
Friedrichstraﬂe	SPOT	299	23.12.2003	3514011	5416883	48.889200865989	9.190032740614
Friedrichsring	V	101	28.04.1994	3461826	5484102	49.492570957785	8.4720492031526
Gewand Steinweg	S	94	01.01.1975	3461377	5489834	49.544077926013	8.4652908881963
Grabenstraﬂe	SPOT	276	29.12.2006	3506040	5418395	48.902925484554	9.0813605793186
Freiburger Straﬂe	S	223	01.11.1992	3392834	5298860	47.819048540489	7.5679134375249
Karlsruher Straﬂe	V	135	01.01.2006	3465415	5429708	49.003712140083	8.5262833734452
Wildbader Straﬂe	S	281	01.01.2008	3475544	5416903	48.88905481059	8.6654877672184
Friedrich-Ebert-Straﬂe	S	392	01.02.1982	3515408	5372358	48.48877907145	9.2074266863464
Lederstraﬂe	V	382	21.03.2007	3515657	5372420	48.489330485502	9.2107975917233
Oberndorfer Straﬂe	V	458	29.12.2006	3454803	5343646	48.229147627027	8.3906284824081
Bahngel‰nde	S	306	01.01.1991	3553611	5441444	49.107879077803	9.7332364954886
Sportplatz-Gel‰nde	L	797	27.04.1994	3515467	5356456	48.345772950217	9.2076400390666
K‰lbelescheuer	L	902	01.01.1984	3407539	5297592	47.809927513741	7.7645002301714
Am Neckartor	SPOT	239	23.12.2003	3514111	5405642	48.788117029455	9.1910104361273
Arnulf-Klett-Platz	V	243	06.12.1994	3513357	5405088	48.78315188966	9.1807314755553
Gnesener Straﬂe	S	250	01.01.1981	3516959	5407965	48.808935112083	9.2298637921721
Hohenheimer Straﬂe	SPOT	302	23.12.2003	3513638	5403483	48.768713130424	9.1845020950128
Bei der Kl‰ranlage	S	174	01.11.1990	3547667	5499976	49.634620287286	9.6588350162915
Derendinger Straﬂe	S	324	22.01.2002	3503855	5374446	48.507732386841	9.0511504890934
Jesinger Hauptstraﬂe	SPOT	355	01.01.2006	3498557	5376519	48.526384309546	8.9794421364127
M¸hlstraﬂe	SPOT	340	01.01.2006	3504362	5375836	48.520229058329	9.05802643899
Bˆblinger Straﬂe	S	480	01.10.1978	3572570	5362580	48.39686450759	9.9789826091328
Unterer Dammweg	S	699	01.06.1987	3460085	5323536	48.048653348792	8.463606057202
Zwˆlfthauen	S	277	01.02.1982	3397261	5273096	47.588113869752	7.6330809169185
In der Hessel	S	162	01.05.1986	3478261	5462679	49.300762521407	8.7000720820788
