Bauwerk-Nr.	Straßenzug	Benennung	Zustandsnote	Baujahr	Brückenfläche m²
342	G	FG-Durchl. b.Friedh./Frankenb.	2	1746	44
301	K	Militärwegbr.(Eugen-Nägele-Str.)	2	1782	311,75
329	K	Köpferbach, Durchl. Jägerhausstr.	3	1831	57,8
302	G	Schozachbr.unt.Judenfriedhof	2,3	1889	56,7
306	G	Leinbachbr. Böckinger Str.	2,4	1892	76,3
303	G	Schozachbr.Markungsgrenze	2,5	1895	15,9
315	G	Deinenbachbr. Wanderweg	2,3	1900	16,8
107	G	Klingenberger  Steg	3,5	1925	225,39
312	G	Deinenbachbr. Deinenbachstr.	3,3	1935	15,28
335	G	Pfühlbach Muschelkalkbr. Park	2,1	1936	35,6
336	K	Durchlaß L 1101 (b.Hundeplatz)	k.A.	1945	keine
325	G	Böll.-Bach unt. Altböll.Hof	2,9	1945	27,3
334	G	Pfühlb. Durchl. Rich.-Becker-Str.	2,8	1945	50,7
326	G	Böll.-Bach unt. Böll.Mühle	2,4	1945	13,5
327	G	Böll.-Bach unt. Altböll.Hof	2,4	1945	30
330	G	Trappensee Br. b.Schlößchen	2,4	1945	27,84
112	G	Fußg.Br.Leinbach Gerl.Mühle	2,3	1945	19,13
113	G	FG.Br.z.Trappenseeschlößchen	2,3	1945	40,13
324	G	Böll.-Bachbr. Pumpstation	2,2	1945	16,65
352	G	Böll.-Bachbr.Talweg	3	1950	23,32
351	G	Böll.-Bachbr.-Vic.Weg 13/1	2,3	1950	27,44
157	B	Paul-Göbel-Brücke	3,1	1951	231
353	G	Böll.-Bachbr.Mühlkanal z.Böll.Hof	1,9	1951	21,42
162	G	Fußgängerbrücke Hafenstraße ( + Treppe )	3	1952	65,45
161	G	Fußgängerbrücke Neckarkanal	2,9	1952	382
160	G	Brücke bei Hochwasserabschluß	2,8	1952	117
159	G	Götzenturmbrücke	2,4	1952	570
356	G	Böll.-Bach Feldwegbrücke	2,4	1952	21
355	K	Böll.-Bachbr. Unterlandstr.	2,2	1952	82,65
358	G	Pfühlbach Br.z.Kompostanlage	2,6	1954	13,23
439	G	Leinb.Brücke ü.Triebwerkskanal	2,4	1954	15,41
357	G	Leinbachbr. Widm. (Pumpst.)	2,3	1954	15,18
360	G	Pfühlbach Holzbr. b. Fasanenstr.	2,3	1955	11,85
361	G	Deinenbachbr. Markungsgr. Flein	2,3	1955	41,2
359	G	Pfühlbach Holzbrücke Parkmitte	2	1955	17,4
365	B	Rampenbrücke II -verfüllt-	k.A.	1957	72,5
169	B	Rampenbrücke 1 Hafenstr.	2,9	1957	282,3
168	B	Bleichinselbrücke -Rückbau erfolgt-	0	1957	1254
366	K	Kranenbrücke	2,9	1958	332
171	G	Leinbachbrücke  Mittelstraße	2,4	1958	50,7
172	K	Schleusenbrücke  Wilhelmskanal	2,9	1959	263,93
367	G	Köpferb. Holzbr.geg.Altenheim	2,7	1959	5,87
369	G	Deinenbachbr. Bundschuhstr.	2,8	1960	50,4
372	G	Leinbachbr. Römerstraße	3	1961	126,1
176	G	ehem.Eisenb.br.Sonth.-Landwehr	2	1961	181,35
373	B	Deinenbachbr. Horkheimer Str.	3,3	1962	60,16
402	B	Leinbachbr. Saarbrückener Str.	2,7	1962	160
378	G	Deinenbachbr. Hauptstraße	2,7	1965	51,6
501	B	Unterführung/Rathenauplatz	2,1	1965	135
179	G	Br. b. Fischerheim  Schozach	2,1	1966	28,8
180	L	Brücke über AutobahnK9558	2,4	1967	Land BaWü
181	K	Karl-Wüst-Brücke	2,8	1968	801,8
182	K	Brücke BrückenstraßeL1104	2,9	1969	288
383	L	Böll.-Bach Verdolung	2,7	1969	49,6
387	L	L 1100 Unterf. Wimpfener Str.	2,4	1969	Land BaWü
388	L	L 1100 Unterführung Vic.Weg 13/1	1,9	1969	Land BaWü
183	L	Leinbachbr. Neckartalstr. L1100	k.A.	1970	Land BaWü
384	K	Böll.-Bach Finkenbergstr.  K 9559	2,8	1970	73,8
184	G	Industriebrücke	2,8	1971	1092
391	G	Rotbachbr. Neuwiesenstr.	2,2	1972	34,5
392	G	Rotbachbr.z.St.Anna Linde	2,9	1973	18
185	G	Leinbachsteg bei Neckarhalle	3,3	1974	65,6
397	G	Rotbachbr. Backhausstraße	2,4	1974	119,31
398	G	Rotbachbr. Stauchenstraße	2,4	1974	42,75
399	G	Rotbachbr. i.Hipfelhof 1	2,4	1975	28
400	G	Rotbachbr. i.Hipfelhof 2	2,1	1975	35,28
186	G	Fußgängerbrücke am Wollhaus	3,4	1976	705
403	G	Böll.-Bach Felix- Wankel-Str.	3	1976	110
401	G	Leinbachbr. Schafhausstraße	2,7	1976	79,6
507	G	Unterführung/In der Steig	2,1	1976	88,44
187	L	Stuttgarter  Brücke	2,5	1977	780
404	G	Böll.-Bach Br.z.Ind.G.Böll.Höfe	2,4	1977	172,8
505	G	Unterführung/Allee-Hauptpost	2,7	1978	1602
189	G	Bruchbach Zugang Freibad	2	1978	98,48
504	G	Unterführung/Berliner Platz	2,7	1979	1497,97
409	G	Deinenbachbr. Parkstraße	2,6	1979	88,43
407	G	Bruchbach Furt zum Freibad	2,4	1979	15,75
408	G	Böll.-Bach Brücke z. Altböll.Hof	2,4	1979	24
405	G	Rotbachbr.b.ehem.Freibad	2,2	1979	21,9
406	G	Rotbachbr. Steg bei Kleingärten	2	1979	8,5
414	G	Köpferbachbr.bei Ehrenfriedhof	2,9	1980	5,25
413	G	Deinenbachbr. Sonth.San.Gebiet	2,8	1980	15
506	L	Unterführung/Hans-Sachs-Str.	2,8	1980	400
415	G	Leinbachbr.b.d.Sportplätzen	2,7	1980	25,5
410	G	Deinenbachbr. Hofgartenstraße	2,4	1980	25,5
411	G	Deinenbachbr. neb. Hauptstraße	2,3	1980	26,25
418	G	Böll.-Bach Brücke b.Keltergasse	2,3	1980	22,95
412	G	Leinbachbr. Hahnenbrunnen	2	1980	11,04
191	G	FußgängerbrückeL1100	3	1981	220
192	G	Leinbachbrücke  Pfauenhof	2,8	1981	17,85
417	G	Schozach Gewann Weidach	2,7	1981	63
419	G	Leinbachbr. Umlaufkanal	2,5	1981	17,28
190	B	Brücke Leuschnerstr.L1100	2,3	1981	768
421	G	Deinenbachbr. bei TSV - Sporth.	2,7	1982	13,6
195	K	Karl-Wüst-Brücke  II ( Verbr.+ Umbau Süd )	2,3	1982	1045
198	L	Sontheimer Brücke	2,8	1983	4456,58
422	G	Deinenbachbr. Klingenstraße	2,6	1983	31,8
196	G	Straßenbr. Böck. Kn. BeiL1106	2,5	1983	337,77
194	K	Verbreiterung Br. Brückenstr.	2,4	1983	349,2
197	G	Fußgängerbr.ü. Böck.Kn.  L1106	2,3	1983	78,25
193	K	Neckargartacher Brücke Nord	2,3	1983	2462,4
200	G	Fuß/Radw.br.bei Union ü.  L1106	2,5	1984	144
423	G	Köpferbach Steg z. Altenheim	2,4	1984	34,1
453	G	Brücke im Wertwiesenpark	2,9	1985	24,7
203	K	Brücke über Horkheimer Str.	2,3	1985	514
428	G	Leinb.-br.Widm. Krautgartenweg	2,5	1986	11,63
427	G	Leinbachbr. zum Spielplatz	2,1	1986	7,7
201	K	Horkheimer BrückeL1106	2,5	1987	4515,2
204	G	FeldwegüberführungFW.179	2,4	1988	175,5
